X,Y,OBJECTID,NAME,WEB_URL,RELIGION,ADDRESS,XCOORD,YCOORD,PLACE_OF_WORSHIP,Is_Place_Of_Worship,GIS_ID,ADDRID
-76.991774390813049,38.878906623098352,114,CALVARY CHRISTIAN CHURCH,CALVARYCHRISTIAN.WEBS.COM,CHRISTIAN,909 11TH ST SE,400713.93,134562.94,CHURCHES,1,,
-76.983475955851119,38.888912169076477,115,SERVANTS OF THE LORD,SSVMUSA.ORG,CHRISTIAN,28 15TH ST SE,401433.78,135673.73,CHURCHES,1,,
-76.998931348159672,38.905439358117874,116,UPON THIS ROCK TABERNACLE,UPONTHISROCKTABERNACLE.COM,CHRISTIAN,513 M ST NE,400092.89,137508.25,CHURCHES,1,,
-76.995881735804872,38.880453400914035,117,CAPITAL CITY CHURCH,CAPCITYCHURCH.COM,CHRISTIAN,1333 H ST NE,400357.53,134734.62,CHURCHES,1,,
-76.998735430215135,38.90112750705422,118,TABLE CHURCH-H STREET PARISH,,CHRISTIAN,509 I ST NE,400109.89,137029.6,CHURCHES,1,,
-76.993486707142836,38.895726368481036,119,WASHINGTON COMMUNITY FELLOWSHP,WCFCHURCH.ORG,CHRISTIAN,907 MARYLAND AVE NE,400565.22,136430.05,CHURCHES,1,,
-77.009331830834185,38.91593136748422,120,ST MARTIN OF TOURS CATHOLIC CHURCH,STMARTINSDC.ORG,CHRISTIAN,1908 N CAPITOL ST NW,399190.9,138672.99,CHURCHES,1,,
-76.986084377386419,38.889521835572538,121,HOLY COMFORTER-ST CYPRIAN CHR,PARISHESONLINE.COM,CHRISTIAN,1357 E CAPITOL ST SE,401207.47,135741.37,CHURCHES,1,,
-76.985294791135814,38.88738576214088,122,THANKFUL BAPTIST CHURCH,,CHRISTIAN,1401 INDEPENDENCE AVE SE,401276.01,135504.26,CHURCHES,1,,
-77.008374200229724,38.876659377903671,123,ST VINCENT DE PAUL PARISH,STVINCENTDEPAULDC.ORG,CHRISTIAN,14 M ST SE,399273.55,134313.48,CHURCHES,1,,
-77.000833149238119,38.922141088441101,124,VERDADERA FE BAPTIST CHURCH,,CHRISTIAN,2432 4TH ST NE,399927.95,139362.28,CHURCHES,1,,
